Year	Month	Year_month	monthnum	Mussel	size	Barn_amount	Barn_prop	Barn_old	Mint_m	Mint_f	Mint_eggs	sum_int	Mori_m	Mori_f	Mori_eggs	sum_ori	juv	oyster	O_size	O_Mori_m	O_Mori_f	O_Mori_eggs	O_Mori_sum	O_Mori_juv
2013	March	2013_March	3	107	45	11.4	NA	NA	1	2	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	108	50	14.3	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	109	46	10.2	NA	NA	11	5	0	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	110	45	11.3	NA	NA	9	1	0	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	111	44	10.3	NA	NA	3	1	0	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	112	46	10.4	NA	NA	2	3	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	113	46	9.2	NA	NA	4	3	0	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	114	49	11.5	NA	NA	4	0	0	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	115	47	11	NA	NA	4	2	0	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	116	47	11	NA	NA	8	2	0	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	117	51	12.5	NA	NA	1	3	0	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	118	49	16	NA	NA	1	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	119	44	10.8	NA	NA	11	4	0	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	120	45	10	NA	NA	3	3	0	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	121	42	10.2	NA	NA	9	4	0	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	122	53	14.6	NA	NA	4	4	0	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	123	52	12.4	NA	NA	4	3	0	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	124	52	10.1	NA	NA	6	0	0	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	125	53	12.6	NA	NA	4	1	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	126	50	10	NA	NA	1	1	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	127	50	10	NA	NA	1	1	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	128	53	15.6	NA	NA	6	1	0	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	129	52	12.6	NA	NA	1	2	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	130	46	8.2	NA	NA	4	3	0	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	131	43	6.8	NA	NA	1	2	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	132	44	6.3	NA	NA	0	2	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	133	54	13.7	NA	NA	4	3	0	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	134	50	14	NA	NA	4	1	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	135	47	11.6	NA	NA	2	2	0	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	136	46	9.8	NA	NA	7	1	0	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	137	46	11.3	NA	NA	4	2	0	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	138	59	18.8	NA	NA	2	8	0	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	139	53	10.7	NA	NA	3	2	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	140	48	9.8	NA	NA	1	2	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	141	54	11.2	NA	NA	2	2	0	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	142	47	8	NA	NA	2	2	0	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	143	50	9.8	NA	NA	5	0	1	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	144	44	11.9	NA	NA	2	5	1	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	145	44	8.3	NA	NA	2	1	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	146	44	8	NA	NA	3	1	1	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	147	40	8	NA	NA	3	2	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	148	42	8.7	NA	NA	2	1	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	149	43	7.7	NA	NA	6	2	1	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	150	43	7.3	NA	NA	5	4	2	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	151	43	8	NA	NA	2	0	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	152	37	4.9	NA	NA	1	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	153	50	14.9	NA	NA	1	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	April	2013_April	4	154	56	13.8	NA	NA	8	3	0	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	April	2013_April	4	155	51	9.8	NA	NA	3	2	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	April	2013_April	4	156	50	10.7	NA	NA	9	7	0	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	April	2013_April	4	157	52	11.1	NA	NA	7	7	0	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	April	2013_April	4	158	59	17.3	NA	NA	3	2	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	April	2013_April	4	159	49	10.6	NA	NA	2	3	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	April	2013_April	4	160	53	14.5	NA	NA	5	3	0	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	April	2013_April	4	161	57	15.3	NA	NA	1	3	0	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	April	2013_April	4	162	48	9.7	NA	NA	1	4	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	April	2013_April	4	163	45	8.1	NA	NA	1	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	April	2013_April	4	164	57	14.1	NA	NA	6	2	0	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	April	2013_April	4	165	52	10.3	NA	NA	15	3	1	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	April	2013_April	4	166	55	14.4	NA	NA	4	2	0	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	April	2013_April	4	167	52	12.1	NA	NA	1	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	April	2013_April	4	168	53	11.8	NA	NA	2	2	0	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	April	2013_April	4	169	52	12.8	NA	NA	0	1	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	April	2013_April	4	170	59	20.2	NA	NA	3	1	0	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	April	2013_April	4	171	54	10.8	NA	NA	2	2	0	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	April	2013_April	4	172	59	22.3	NA	NA	3	1	0	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	April	2013_April	4	173	53	15.2	NA	NA	0	1	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	April	2013_April	4	174	55	14.8	NA	NA	3	1	0	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	April	2013_April	4	175	55	15.3	NA	NA	3	2	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	April	2013_April	4	176	54	14.8	NA	NA	1	1	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	April	2013_April	4	177	47	8.6	NA	NA	6	5	0	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	April	2013_April	4	178	45	9.9	NA	NA	6	2	0	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	April	2013_April	4	179	43	6.3	NA	NA	8	5	0	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	April	2013_April	4	180	45	8.9	NA	NA	7	2	0	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	April	2013_April	4	181	44	6.7	NA	NA	11	0	0	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	April	2013_April	4	182	42	5.7	NA	NA	9	4	0	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	April	2013_April	4	183	44	6.5	NA	NA	2	4	0	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	April	2013_April	4	184	48	9	NA	NA	3	2	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	April	2013_April	4	185	41	5.7	NA	NA	5	1	0	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	April	2013_April	4	186	43	6.3	NA	NA	1	2	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	April	2013_April	4	187	39	5.2	NA	NA	2	4	0	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	April	2013_April	4	188	39	4.5	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	April	2013_April	4	189	34	3.1	NA	NA	1	1	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	April	2013_April	4	190	32	3.5	NA	NA	3	0	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	April	2013_April	4	191	32	2.9	NA	NA	2	2	0	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	April	2013_April	4	192	35	3.1	NA	NA	6	1	0	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	April	2013_April	4	193	37	4	NA	NA	4	4	0	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	April	2013_April	4	194	31	2.5	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	April	2013_April	4	195	38	4.1	NA	NA	2	1	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	April	2013_April	4	196	34	2.7	NA	NA	1	4	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	April	2013_April	4	218	65	24.1	NA	NA	4	5	0	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	April	2013_April	4	224	64	23.7	NA	NA	5	4	0	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	May	2013_May	5	219	52	14.6	NA	NA	6	13	0	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	May	2013_May	5	220	53	15.9	NA	NA	7	1	0	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	May	2013_May	5	221	49	12.3	NA	NA	4	1	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	May	2013_May	5	222	45	8.8	NA	NA	14	4	0	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	May	2013_May	5	223	39	5.2	NA	NA	1	2	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	May	2013_May	5	225	56	14.6	NA	NA	1	1	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	May	2013_May	5	226	44	7.5	NA	NA	7	4	0	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	May	2013_May	5	227	46	8.1	NA	NA	1	2	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	May	2013_May	5	228	37	4.3	NA	NA	4	1	1	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	May	2013_May	5	229	33	2.9	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	May	2013_May	5	230	57	18.3	NA	NA	6	2	0	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	May	2013_May	5	231	58	17.9	NA	NA	4	0	0	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	May	2013_May	5	232	47	7.4	NA	NA	10	8	0	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	May	2013_May	5	233	36	4.3	NA	NA	4	3	2	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	May	2013_May	5	234	35	3.7	NA	NA	2	2	0	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	May	2013_May	5	235	52	9.3	NA	NA	9	2	1	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	May	2013_May	5	236	53	10.9	NA	NA	9	1	0	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	May	2013_May	5	237	44	6.6	NA	NA	4	3	2	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	May	2013_May	5	238	39	4.7	NA	NA	5	2	0	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	May	2013_May	5	239	33	2.4	NA	NA	3	2	2	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	May	2013_May	5	240	48	10.5	NA	NA	5	1	0	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	May	2013_May	5	241	54	12.1	NA	NA	3	2	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	May	2013_May	5	242	42	5.6	NA	NA	6	1	0	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	May	2013_May	5	243	35	3.3	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	May	2013_May	5	244	37	4.1	NA	NA	5	0	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	May	2013_May	5	245	57	14.9	NA	NA	6	7	2	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	May	2013_May	5	246	53	16.8	NA	NA	9	2	0	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	May	2013_May	5	247	48	9.4	NA	NA	5	4	4	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	June	2013_June	6	248	49	11.4	NA	NA	1	2	2	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	June	2013_June	6	249	37	3.6	NA	NA	3	2	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	June	2013_June	6	250	NA	13.9	NA	NA	3	2	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	June	2013_June	6	251	42	10.1	NA	NA	1	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	June	2013_June	6	252	49	12.6	NA	NA	6	0	0	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	June	2013_June	6	253	44	8.3	NA	NA	4	6	6	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	June	2013_June	6	254	51	10.9	NA	NA	2	3	3	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
